Acute_oral_toxicity,group,smiles
2.3410001,test,Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1
1.245,test,O=C(O)c1cccnc1
2.526,test,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
1.834,test,OCCc1ccccc1
3.582,test,CNC(=O)CSP(=S)(OC)OC
2.4749999,test,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2
0.61699998,test,CSCC[C@H](N)C(=O)O
2.0469999,test,NC(=O)NC(=O)Cc1ccccc1
2.053,test,Cc1cccc(NC(N)=O)c1
4.0819998,test,CNC(=O)Oc1cccc(C(C)C)c1
1.8329999,test,NC(=O)Nc1ccccc1
1.622,test,O=CO
1.311,test,CCCCCC=O
4.8509998,test,O=c1[nH]cc(N(CCCl)CCCl)c(=O)[nH]1
3.1289999,test,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
0.755,test,CO
4.2210002,test,Nc1ncnc2c1ccn2C1OC(CO)C(O)C1O
2.1900001,test,O=C(O)c1ccccc1O
0.99299997,test,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
1.274,test,CCS(=O)CC
1.924,test,c1ccccc1
2.72,test,CNCCC=C1c2ccccc2CCc2ccccc21
1.448,test,CCl
1.9069999,test,CCBr
1.196,test,CC(C)Cl
2.135,test,CC(Cl)Cl
2.6849999,test,C=C(Cl)Cl
1.432,test,CC(C)(C)O
3.098,test,ClC(Cl)(Br)CBr
2.0550001,test,CC(C)(C)C(=O)O
2.8670001,test,CCOC(=O)C1(c2ccccc2)CCCN(C)CC1
3.0580001,test,CC1(C)C(=O)N(Br)C(=O)N1Br
2.5350001,test,CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)CN(C)C
0.77100003,test,CC(=O)O[C@]1(C)CCC23CC1C(C)(C)C2CCC3C
2.573,test,C1=CC2C3C=CC(C3)C2C1
1.671,test,CCOC(=O)CC(O)(CC(=O)OCC)C(=O)OCC
1.421,test,C=C[Si](OCC)(OCC)OCC
1.8150001,test,C=CC1OCC2(CO1)COC(C=C)OC2
2.194,test,CCOP(=O)(OCC)OCC
2.1830001,test,O=P(OCC(Cl)CCl)(OCC(Cl)CCl)OCC(Cl)CCl
1.204,test,CCO[Si](C)(C)OCC
3.2149999,test,CC(C)(C#N)N=NC(C)(C)C#N
2.4119999,test,ClCC1(CCl)COC1
3.141,test,CC(C)C#N
2.7,test,C=C(C)C=O
2.54,test,C=C(Cl)CCl
1.421,test,CCC(C)=O
2.7349999,test,O=C(Cl)CCl
2.8310001,test,NC(=O)CCl
1.455,test,CCC(=O)O
3.9979999,test,NNC(N)=S
2.924,test,ClC(Cl)C(Cl)Cl
1.778,test,O=C(Cl)C(Cl)Cl
1.66,test,O=C(O)C(Cl)Cl
2.098,test,CCC(C)(C)c1cc(O)c(C(C)(C)CC)cc1O
2.3670001,test,COS(=O)(=O)c1ccccc1
1.9529999,test,CCC(C)(C)c1ccc(O)cc1
2.737,test,COS(=O)(=O)c1ccc(C)cc1
2.3840001,test,CC1(N)CCC(C(C)(C)N)CC1
3.2490001,test,C=C(Cl)C(=O)OC
1.061,test,Nc1ccc2ccccc2c1S(=O)(=O)O
1.559,test,O=c1oc(=O)c2ccc3c(=O)oc(=O)c4ccc1c2c43
3.263,test,CC(=O)CC(c1ccc(Cl)cc1)c1c(O)c2ccccc2oc1=O
5.3559999,test,O=C1c2ccccc2C(=O)C1C(=O)C(c1ccccc1)c1ccccc1
2.4289999,test,O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
2.5339999,test,Cc1cccc(C(=O)O)c1O
2.3829999,test,CCCOC(=O)C1c2cc3c(cc2CC(C)C1C(=O)OCCC)OCO3
1.586,test,Nc1ccc(S(=O)(=O)O)c2cccc(O)c12
2.977,test,CCC1CC2CC3c4[nH]c5ccc(OC)cc5c4CCN(C2)C13
0.98199999,test,O=C(OC1CCCCC1)c1ccccc1C(=O)OC1CCCCC1
1.4119999,test,CCOC(=O)c1ccccc1C(=O)OCC
3.1530001,test,CC(CN(C)C)CN1c2ccccc2Sc2ccccc21
2.1289999,test,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl
2.1270001,test,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1
2.036,test,O=NN(c1ccccc1)c1ccccc1
2.2980001,test,ClCc1cccc2ccccc12
2.095,test,CC(C)COC(=O)c1ccccc1O
1.8,test,CC(C)CCOC(=O)c1ccccc1O
1.6440001,test,CCOC(=O)c1ccccc1N
3.5969999,test,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1
2.1140001,test,Cc1cccc(N)c1C
1.9960001,test,Clc1cccc(Cl)c1Cl
2.1589999,test,Cc1cccc(C)c1N
1.723,test,CCC(CC)C(=O)O
1.701,test,CCN(CC)C(=O)Cl
2.408,test,CN(C)Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
1.635,test,CC(=O)OC1CCCCC1C(C)(C)C
2.6199999,test,O=[N+]([O-])c1ccccc1O
1.655,test,O=C(Cl)c1ccc(Cl)cc1Cl
1.73,test,CC(=O)c1ccc(O)cc1O
1.39,test,CC1CC=CCC1C=O
2.03,test,COc1ccccc1N
2.0239999,test,Clc1cccc2ccccc12
1.887,test,Oc1cccc2ccccc12
2.3929999,test,O=c1nn[nH]c2ccccc12
1.595,test,CC(=O)OC(c1ccccc1)C(Cl)(Cl)Cl
1.66,test,Cc1cc(=O)oc2cc(O)ccc12
2.388,test,C1CCN2C[C@@H]3C[C@@H](CN4CCCC[C@H]34)[C@@H]2C1
1.557,test,O=C1CCCCC1C1CCCCC1
2.3989999,test,CN[C@@H](C)[C@@H](O)c1ccccc1
1.989,test,COC(OC)C(C)c1ccccc1
2.191,test,COc1ccccc1OC
1.665,test,CCN(CC)c1ccc2c(C)cc(=O)oc2c1
2.6270001,test,NC(=O)Nc1ccc([As](Sc2ccccc2C(=O)O)Sc2ccccc2C(=O)O)cc1
1.799,test,Cc1cccc(N(CCO)CCO)c1
2.832,test,CCN(CCNS(C)(=O)=O)c1ccc(N)c(C)c1
2.2609999,test,CN(C)CCOc1ccccc1Cc1ccccc1
2.474,test,CCN(CCCl)c1ccccc1
1.858,test,c1ccc(-c2ccccc2)cc1
1.773,test,N#CCCN(CCO)c1ccccc1
1.928,test,c1ccc2c(c1)Cc1ccccc1N2
2.342,test,C=CCc1ccc(OC)c(OC)c1
2.092,test,C=CCc1ccc(OC(C)=O)c(OC)c1
2.395,test,C=CCN(CC=C)C(=O)CCl
2.9300001,test,O=C(O)COc1cc(Cl)c(Cl)cc1Cl
1.854,test,CCOC(=O)c1ccccc1
2.575,test,CC(C)OC(=O)COc1ccc(Cl)cc1Cl
1.113,test,CCCCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CCCC
1.92,test,C=CCc1ccc2c(c1)OCO2
2.744,test,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1
2.263,test,O=C(OCCOc1ccc(Cl)cc1Cl)c1ccccc1
1.7920001,test,CC(C/N=C/c1ccccc1O)/N=C/c1ccccc1O
2.0190001,test,CCCC(O)C(CC)CO
1.698,test,c1ccc2sc(SNC3CCCCC3)nc2c1
2.0050001,test,Nc1cc(Cl)ccc1Cl
2.382,test,Oc1cc(Cl)c(Cl)cc1Cl
2.993,test,ClCC(Cl)CCl
2.599,test,S=C1NCCS1
2.4560001,test,CCC(Cc1c(I)cc(I)c(O)c1I)C(=O)O
4.7059999,test,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O
2.2520001,test,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O
2.3199999,test,O=Cc1cc([N+](=O)[O-])ccc1O
2.0220001,test,C/C=C/c1ccc(O)c(OC)c1
0.88700002,test,C=C(C)C(=O)OCC
2.773,test,CCN(CC)C(=S)SSC(=S)N(CC)CC
1.5829999,test,CCOC(=O)C1CC2CC1C1OC21
1.742,test,CCC(CC)CO
1.513,test,ClC(Cl)(Cl)c1ccccc1
0.98900002,test,FC(F)(F)c1ccccc1
2.526,test,Nc1cccc(C(F)(F)F)c1
1.475,test,CC1=CCC(C(C)(C)O)CC1
1.696,test,O=S(=O)(Cl)c1ccc(Cl)cc1
1.934,test,CC(C)c1ccccc1
1.869,test,O=C(Cl)c1ccccc1
1.543,test,NC(=O)c1cccnc1
1.936,test,Nc1c(Cl)cc([N+](=O)[O-])cc1Cl
3.451,test,O=[N+]([O-])c1cccc([N+](=O)[O-])c1
1.658,test,COC(=O)c1ccc(C)cc1
1.909,test,CC1=CC=C(C(C)C)CC1
2.5739999,test,O=[N+]([O-])c1ccc(Cl)cc1
1.941,test,COc1ccc(C(C)=O)cc1
1.613,test,CCN(CC)CCN
2.3670001,test,N#CC1CC=CCC1
1.9119999,test,O=Cc1ccccc1
1.944,test,N#Cc1cccnc1
2.76,test,NNc1ccccc1
3.0380001,test,ONc1ccccc1
1.811,test,CCN1CCOCC1
2.756,test,O=NN1CCCCC1
2.0699999,test,CC(C)(O)Cc1ccccc1
2.2509999,test,CC(C)OC(=O)Nc1cccc(Cl)c1
1.205,test,CCCC(CC(OCC)OCC)OCC
1.675,test,COC(Cc1ccccc1)OC
1.4349999,test,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1
1.9680001,test,COc1ccc(Nc2ccc(OC)cc2)cc1
2.5840001,test,Nc1ccc(Cc2ccc(N)cc2)cc1
2.687,test,C1CCC(NC2CCCCC2)CC1
1.937,test,c1cc(OCC2CO2)cc(OCC2CO2)c1
3.6600001,test,S=C(Nc1ccccc1)Nc1ccccc1
1.205,test,O=C(Cc1ccccc1)OCCc1ccccc1
2.368,test,CCNc1cccc(C)c1
2.125,test,C=CCN(CC=C)CC=C
1.579,test,CCCCN(CCO)CCO
2.2090001,test,CCCCN(CCO)CCCC
2.3559999,test,CCCCN(CCCC)CCCN
1.6440001,test,CCOC(=O)/C=C/c1ccccc1
1.748,test,CCC(=O)OC/C=C/c1ccccc1
1.397,test,OCCN1CCNCC1
1.652,test,Cc1ccc(OC(=O)C(C)C)cc1
2.03,test,COc1ccc(CC(=O)O)cc1
1.533,test,CCCc1ccc(OC)cc1
1.5089999,test,CCCCC1CCC(=O)O1
1.827,test,OC/C=C/c1ccccc1
1.748,test,O=COC/C=C/c1ccccc1
0.99800003,test,CCCCCCCC1CCC(=O)O1
1.489,test,Cc1ccc(C#N)cc1
1.654,test,OCC1CCC(CO)CC1
2.891,test,C#CC(O)CCC
1.556,test,COC(=O)CC(C)=O
1.5599999,test,CCC(C)OC(C)=O
0.95099998,test,CCCC(=O)OCC
2.622,test,CCNC(=S)NCC
1.7869999,test,CN(CCO)CCO
1.428,test,CCCCOC(=O)/C=C/C(=O)OCCCC
2.168,test,CCCCC(CC)CNCC(CC)CCCC
1.535,test,CC(C)=CCC/C(C)=C\CO
2.6289999,test,Nc1ccc(Cl)cc1
1.309,test,C=CC(=O)OCC(C)C
0.93699998,test,OCCCCC(O)CO
3.0120001,test,ClCC1CO1
3.3510001,test,C#CCBr
2.7479999,test,C=CCN
3.8529999,test,N#CCO
2.9449999,test,O=CCCl
2.4630001,test,O=CC=O
5.4060001,test,CC(C)OP(C)(=O)F
2.598,test,CC(C)(C)OC(=O)CCl
1.944,test,CCCCC[Si](Cl)(Cl)Cl
2.119,test,CC(C)NC(C)C
1.081,test,CC(C)OC(C)C
2.3889999,test,O=C1C=CC(=O)O1
1.327,test,Cc1cccc(C)c1
2.5799999,test,Clc1nc(Cl)nc(Cl)n1
2.3670001,test,Cc1cccnc1
0.88499999,test,C=COCC(C)C
1.738,test,CN(C)CCCN
1.309,test,CC(C)OCCO
1.696,test,CCCCBr
2.3770001,test,NCCCN
2.132,test,CCNCC
1.603,test,CCOC=O
1.552,test,CC(=O)CCC(C)C
1.252,test,CCOC(=O)CCCCCCCCC(=O)OCC
2.365,test,CC(C)CCON=O
2.25,test,N#CCCC#N
2.3169999,test,CCCCNC
1.948,test,c1ccncc1
1.557,test,CC(=O)CCC=C(C)C
1.446,test,CC(O)CNCC(C)O
1.774,test,O=C(O)CCSCCC(=O)O
2.8570001,test,CN(C)CCCCCCN(C)C
1.148,test,O=C(O)CCCCCCCCC(=O)O
1.98,test,NCCNCCN
3.28,test,ClCCOCCCl
2.3659999,test,CCCCCCCO
3.425,test,ClCCOCOCCCl
1.522,test,N#CCCSCCC#N
1.767,test,NCCNCCNCCN
2.2460001,test,CCCCCCOCCO
2.8740001,test,ClCCOCCOCCCl
1.7029999,test,CCCCCCCCCC=O
1.457,test,CCCCOCCOCCO
1.6059999,test,CCCCCCCCCCCCCCCCCC(=O)Cl
1.673,test,CCCCOCCOCCOCCOCCOCCCC
3.562,test,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1
3.7079999,test,CNC(=O)Oc1ccccc1OC(C)C
4.3540001,test,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
2.325,test,CC(=O)Oc1ccc(C2(c3ccc(OC(C)=O)cc3)C(=O)Nc3ccccc32)cc1
3.4360001,test,COC1=CC=C2C3Cc4ccc(OC)c5c4C2(CCN3C)C1O5
3.5910001,test,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
1.763,test,C/C(=C/CCC1(C)C2CC3C(C2)C31C)CO
0.84399998,test,OCC(CO)(CO)CO
1.97,test,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1
2.3659999,test,O=P(OCCCl)(OCCCl)OCCCl
3.289,test,CCNC(=O)CSP(=S)(OC)OC
1.527,test,CC(=O)CO
1.709,test,C=C(C)OC
3.043,test,O=C(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl
3.2739999,test,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
3.152,test,O=C1C(Cl)=C(Cl)C(=O)c2ccccc21
1.854,test,O=C(Oc1ccccc1)c1ccccc1O
2.0999999,test,CCOC(=O)c1ccccc1O
1.404,test,Nc1ccccc1C(=O)O
1.346,test,Cc1ccc(N)cc1[N+](=O)[O-]
2.0209999,test,Nc1ccc(O)c([N+](=O)[O-])c1
1.585,test,C/C(=N\O)C(=O)c1ccccc1
1.924,test,c1ccc2c(c1)CCCC2
2.5550001,test,c1ccc2cnccc2c1
2.006,test,O=C1CCc2ccccc2O1
1.535,test,CCC(=O)OC(C)c1ccccc1
2.832,test,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
3.9590001,test,COC(=O)/C=C(\CC(=O)OC)OP(=O)(OC)OC
3.2460001,test,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1
2.1359999,test,CCOC(CC(OCC)OCC)OCC
2.006,test,O=C(O)COc1ccccc1
1.697,test,CCC(=O)OCc1ccccc1
1.649,test,CCC(=O)OCCc1ccccc1
1.579,test,CC(=O)OCCCc1ccccc1
1.891,test,CC(=O)Oc1ccccc1
1.693,test,COc1ccc(CC(C)=O)cc1
1.126,test,C=COC(=O)CCC
1.615,test,CCC=O
1.664,test,CC(=O)CC(C)(C)O
2.855,test,C=CCOC(=O)CCCCC
0.89399999,test,CC(=O)OCCC(C)C
2.2260001,test,C=CCNCC=C
2.329,test,CCC1(CC)C(=O)NCC(C)C1=O
1.92,test,CC1CCC2(NC1)OC1CC3C4CC=C5C[C@@H](O)CCC5(C)C4CCC3(C)C1C2C
2.6700001,test,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1
1.7920001,test,O=S1(=O)CCCC1
5.2360001,test,CCOP(=O)(OCC)SCCSCC
1.307,test,CC(=O)N(C)C
2.7839999,test,CCCCN(CCCC)S(=O)(=O)c1ccc(Cl)cc1
2.4349999,test,COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C
1.539,test,O=C(Nc1ccc(Nc2ccc(NC(=O)c3ccccc3)c3c2C(=O)c2ccccc2C3=O)c2c1C(=O)c1ccccc1C2=O)c1ccccc1
2.994,test,CCCCC1C(=O)N(c2ccccc2)N(c2ccc(O)cc2)C1=O
3.596,test,C/C=C1/C[C@@H](C)[C@@](C)(O)C(=O)OCC2=CCN3CC[C@@H](OC1=O)C23
2.3050001,test,O=C(c1ccc(O)cc1O)c1ccc(O)cc1O
2.0510001,test,O=C1c2ccccc2C(=O)N1SC(Cl)(Cl)Cl
1.908,test,Nc1cccc(-n2ccccc2=O)c1
1.4,test,c1ccc(Nc2ccc3ccccc3c2)cc1
2.5480001,test,CCCCCCc1ccc(O)cc1O
2.869,test,CCN(CC)CC(=O)Nc1c(C)cccc1C
1.777,test,CC(C)Nc1nc(Cl)nc(NC(C)C)n1
1.609,test,CCC(=O)OCC(COC(=O)CC)OC(=O)CC
1.465,test,CCN(CCO)CCO
3.431,test,ClCCOP(OCCCl)OCCCl
1.7869999,test,NCCN1CCNCC1
3.4820001,test,N#CCc1ccc(Cl)cc1
2.0810001,test,C=CCc1ccc(OC)cc1
1.992,test,C=Cc1ccc(C)nc1
1.067,test,CCCCC(CC)COC(=O)/C=C/C(=O)OCC(CC)CCCC
2.154,test,C=CC(=O)OCCCC
1.772,test,CC1CC2OC2CC1COC(=O)C1CC2OC2CC1C
1.399,test,CCCCCCCCC1OC1CCCCCCCC(=O)OCC(CC)CCCC
2.619,test,O=C1CSC(=S)N1
1.386,test,CCCCC(CC)COC(=O)/C=C\C(=O)OCC(CC)CCCC
0.583,test,CC(=O)NCCO
0.60100001,test,CCCCCCOC(C)=O
1.608,test,CCCCCCCCCO
1.636,test,COCCOCCOCCOCCOC
3.73,test,O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
2.4749999,test,C=CCN1CC[C@]23CCCCC2[C@H]1Cc1ccc(O)cc13
2.579,test,COc1cc2[nH]c(C)c(CCN3CCN(c4ccccc4)CC3)c2cc1OC
3.1589999,test,C=C1CC1CC(N)C(=O)O
2.0050001,test,c1ccc2c(c1)-c1cccc3cccc-2c13
1.794,test,C1COCCOCCOCCO1
2.8659999,test,CN1CC[C@@]23CCCCC2[C@@H]1Cc1ccc(O)cc13
4.6409998,test,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
5.4159999,test,CCOP(=S)(OCC)SCSCC
4.5370002,test,CCOP(=S)(OCC)OCCSCC
2.4400001,test,CN[C@@H](C)[C@H](O)c1ccccc1
3.066,test,COP(=S)(NC(C)C)Oc1ccc(Cl)cc1Cl
3.1289999,test,N#CC(CCN1CCC(C(N)=O)(N2CCCCC2)CC1)(c1ccccc1)c1ccccc1
4.3049998,test,C[C@@H]1Cc2c(Cl)cc(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1
1.998,test,CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21
4.2010002,test,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1
3.4519999,test,Nc1c2c(nc3ccccc13)CCCC2
2.79,test,CC(=O)Oc1cc(C(F)(F)F)ccc1C(=O)O
3.7090001,test,CCCCN(CCCC)C(=O)CF
4.8000002,test,O=[N+]([O-])c1ccc2[nH]c(C(F)(F)F)nc2c1
2.3599999,test,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
4.6500001,test,O=[As](Cl)(Cl)/C=C/Cl
1.79,test,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1
1.999,test,COCCOc1cnc(NS(=O)(=O)c2ccccc2)nc1
3.378,test,CC(=O)c1cccnc1
3.122,test,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
2.602,test,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
2.6659999,test,Nc1cc(N)cc(C(F)(F)F)c1
1.992,test,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F
1.891,test,N#CC(F)(F)C(F)(F)C(F)(F)C#N
2.464,test,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1Cl
2.802,test,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
2.529,test,C1CS1
3.1470001,test,CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O
2.1819999,test,O=C(O)C1CSCN1
4.3600001,test,O=C(CF)Nc1ccc(-c2ccccc2)cc1
1.658,test,CC(C)=CCC/C(C)=C\C(=O)O
2.8659999,test,CC(C)(N)Cc1ccc(Cl)cc1
3.977,test,C[C@@H]1O[C@@H](O[C@@H]2C=C3CCC4C(CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O
1.794,test,CC12CCC(CC1)C(C)(C)O2
4.5560002,test,CCOP(=O)(OCC)O/C(=C/Cl)c1ccc(Cl)cc1Cl
1.671,test,CC1=CC(C)(C)CC(=O)C1
2.8139999,test,COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1C(C2)N(C)CC3
3.023,test,COc1cc2c3c(c1OC)-c1ccccc1CC3N(C)CC2
2.0369999,test,C/C=C1/CC(C)C(C)(O)C(=O)OCC2CCN3CCC(OC1=O)C23
3.1919999,test,O=C1C=CC(=O)c2c(O)cccc21
3.4619999,test,CC1=CC(=O)c2c(O)cccc2C1=O
3.7449999,test,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)C=C(C)C
3.382,test,O=C(NN=C1C=CC(=NO)C=C1)c1ccccc1
0.92299998,test,CC1CC=C(C(C)C)CC1
1.755,test,O=C(Cl)OCc1ccccc1
1.742,test,CC(C)CC(=O)O
3.971,test,ClCCSCCCl
2.2219999,test,COP(=O)(OC)OC
2.925,test,CC(C)C12C=CC(C)(CC1)OO2
0.88499999,test,CCS(=O)(=O)CCO
1.307,test,CC(C)=CCl
1.906,test,COC1(C)CC(c2ccccc2)c2c(c3ccccc3oc2=O)O1
4.9959998,test,CC1CC(C)(O)CC(C(O)CC2CC(=O)NC(=O)C2)C1=O
1.415,test,Cc1cc(C)c(C)c(C)c1
3.4630001,test,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O
1.854,test,CCCCOc1ccccc1NC(C)=O
3.49,test,O=C(CCl)c1ccccc1
1.142,test,COC(C)OC
2.168,test,CC(C)c1ccc(CO)cc1
1.15,test,CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC
2.7119999,test,C(=NC1CCCCC1)=NC1CCCCC1
2.5,test,N=C(N)NN=C1C=CC(=NNC(N)=S)C=C1
2.1429999,test,CC(C)CCI
4.0879998,test,CC(=O)OCCCl
1.101,test,CC(=O)OCCO
2.3729999,test,Cl/C=C/CCl
1.464,test,C=CC(=C)CCCC(C)(C)O
1.819,test,CCCCSCCCC
2.125,test,O=C1NCCN1/N=C/c1ccc([N+](=O)[O-])o1
4.2249999,test,C=CCI
3.086,test,CSC#N
2.027,test,CC(C)=CCO
4.691,test,CS(=O)(=O)F
3.74,test,CCOP(=S)(OCC)Oc1ccc2c3c(c(=O)oc2c1)CCCC3
2.6159999,test,Cc1cccc(C)c1O
1.919,test,CCc1cccc(CC)c1N
1.595,test,O=[N+]([O-])c1ccc2ccccc2c1
2.1989999,test,Cc1ccncc1C
1.492,test,CC1=CCC(=C(C)C)CC1
2.1470001,test,CC1CCC(=O)CC1
3.477,test,Br/C=C/Br
1.8150001,test,CC(N)CCN
3.3729999,test,CC(=O)NC(N)=S
2.0669999,test,Ic1ccccc1
1.966,test,CCCCNC(N)=O
1.5829999,test,C=CCSCC=C
3.352,test,ClSC(Cl)(Cl)Cl
2.5450001,test,CC(Cl)(Cl)[N+](=O)[O-]
1.5039999,test,CC(C)(C=O)CO
1.478,test,COC(N)=O
2.3499999,test,CO[N+](=O)[O-]
2.1849999,test,CC(C)N(N=O)C(C)C
1.9220001,test,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1
3.388,test,Oc1c(Br)c(Br)c(Br)c(Br)c1Br
2.424,test,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
2.7820001,test,CN(N=O)c1ccccc1
2.957,test,Cc1ccccc1NC(=S)NN
1.905,test,Cc1ccc(OC(=O)c2ccccc2)cc1
2.283,test,CC(C)(C)OOC(=O)c1ccccc1
3.1559999,test,OCC(Cl)CCl
0.84100002,test,COC(=O)OC
2.414,test,O=C1CCCN1
2.414,test,CCC(CC)CN
2.543,test,NC(=O)c1ccc([N+](=O)[O-])cc1
2.4330001,test,CCCN(CCC)N=O
1.92,test,Cc1ccc(N=C=O)cc1
2.1359999,test,ClCc1ccc(CCl)cc1
1.7359999,test,C/C=C\C(=O)OC(=O)/C=C\C
3.0179999,test,CCNC(N)=S
2.1730001,test,N#Cc1cccc(C#N)c1
0.29100001,test,Cc1cc(=O)[nH]c(=O)[nH]1
1.738,test,CCCCOCC
2.1270001,test,N#CCNCC#N
