BCF,group,smiles
0.32099971,test,CC(C)[N+](=O)[O-]
0.33845943,training,NCCNCCN
0.34062061,training,CCOP(=S)(OCC)SCCS(=O)(=O)CC
0.3407402,training,CC(C)(C)c1ccc(C(=O)O)cc1
0.34544799,test,c1ccoc1
0.35092854,training,CC(Cc1ccc(C(C)(C)C)cc1)C(=O)O
0.35125834,training,O=C(O)c1cccc([N+](=O)[O-])c1
0.35503525,training,O=C(O)c1ccc(C(=O)O)nc1
0.35564834,test,NS(=O)(=O)c1ccccc1
0.36405078,test,CN1CCCCC1
0.36598,training,CC(C)(C)O
0.37567779,training,O=S1(=O)CCCC1
0.3762525,training,O=C(O)c1cccc([N+](=O)[O-])c1C(=O)O
0.38429204,training,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr
0.38505766,test,c1ccc2cc(SSc3ccc4ccccc4c3)ccc2c1
0.38976416,training,CC1=CC(=O)CC(C)(C)C1
0.39166772,training,OCc1c(Cl)cccc1Cl
0.39618674,training,c1ccc2ncccc2c1
0.39834383,training,N#Cc1cccc(C#N)c1
0.40097708,training,N#Cc1ccccc1C#N
0.40309,training,S=c1[nH]c2ccccc2s1
0.4283143,training,CCNc1ccc(C)cc1
0.43023354,valid,O=C(O)C(Br)C(Br)C(=O)O
0.43325686,training,O=C(ON=C1C=CC(=NOC(=O)c2ccccc2)C=C1)c1ccccc1
0.44629529,training,CC(O)COCC(C)O
0.45354372,training,ClCBr
0.45641738,training,O=C1/C(=C2/Nc3ccccc3C2=O)Nc2ccccc21
0.45844606,training,CCC(C)c1ccccc1OC(=O)NC
0.46000001,training,Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c12
0.46777263,training,OCc1ccc(Cl)c(Cl)c1
0.47102514,test,CC(CCl)OP(=O)(OC(C)CCl)OC(C)CCl
0.47483194,training,CC(Cl)(Cl)Cl
0.47492829,training,CCOCC
0.47496957,training,Cc1ccccc1CN
0.4755412,training,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
0.47574896,test,COP(=S)(OC)Oc1ccc(S(C)(=O)=O)c(C)c1
0.47712126,training,Cc1cc(Cl)ccc1OC(C)C(=O)O
0.47999999,training,O=[N+]([O-])c1ccc(Cl)c(S(=O)(=O)O)c1
0.48601788,training,COc1ccccc1[N+](=O)[O-]
0.48685041,training,Cc1ccc(C)c(N)c1
0.4888618,training,CCC(Oc1ccc(C(C)(C)CC)cc1C(C)(C)CC)C(=O)Nc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)F)c(O)c1
0.5,valid,O=C(O)c1ccccc1Cl
0.50999999,training,CCC/C(=N/OCC)C1=C(O)CC(CC(C)SCC)CC1=O
0.51466823,training,C=CCN(CC=C)CC=C
0.51999998,training,CCCCCCCCCCCCCCc1ccc(S(=O)(=O)O)cc1
0.52069634,test,CCOc1ccc(N)cc1
0.53254569,training,ClCC(Cl)Cl
0.53265297,training,Nc1cccc([N+](=O)[O-])c1
0.5370748,valid,CN(C)C(=S)SSC(=S)N(C)C
0.54794657,training,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O
0.54947686,training,O=C(O)c1ccc2cc(C(=O)O)ccc2c1
0.55067515,test,Oc1ccccc1
0.55697721,training,CCNc1nc(Cl)nc(NC(C)C)n1
0.55914849,training,Cc1ccc(Cl)c(O)c1
0.56488013,training,CC(Cl)CCl
0.57999998,training,O=S(=O)(O)c1cc(Cl)cc(N=Nc2ccc3c(O)cccc3c2O)c1O
0.58169669,training,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC
0.59012419,training,O=C1CCCCC1C1=CCCCC1
0.59767306,training,CC1=NN(c2ccccc2)C(=O)C1N=Nc1ccc(-c2ccc(N=NC3C(=O)N(c4ccccc4)N=C3C)c(Cl)c2)cc1Cl
0.59901142,training,Nc1ccc(Cl)cc1
0.59923536,test,CCCCC(CC)COP(=O)(O)OCC(CC)CCCC
0.60354793,valid,C=CC(Cl)CCl
0.61877185,training,CC(=O)C(N=Nc1ccc(-c2ccc(N=NC(C(C)=O)C(=O)Nc3ccccc3)c(Cl)c2)cc1Cl)C(=O)Nc1ccccc1
0.63137299,test,c1ccsc1
0.64097095,training,CC(N)c1ccccc1
0.64115793,training,O=[N+]([O-])c1ccccc1
0.64496195,training,Cc1ccc(N)cc1C
0.65121037,valid,S=C(NC1CCCCC1)NC1CCCCC1
0.66350001,training,CC(Cl)(Cl)C(=O)O
0.66378021,training,CNc1ccccc1
0.66722685,training,Brc1c(Br)c(Br)c(-c2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br
0.6741724,training,BrCCBr
0.6821357,test,CNC(=O)Oc1ccccc1C(C)C
0.6897248,training,Nc1ccc([N+](=O)[O-])cc1
0.69012398,training,Nc1ccccc1[N+](=O)[O-]
0.6901961,training,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O
0.69804269,valid,O=C(Nc1ccccc1)c1cc2ccccc2cc1O
0.69889408,training,COc1nn(CSP(=S)(OC)OC)c(=O)s1
0.69999999,training,O=[N+]([O-])c1cccc(S(=O)(=O)O)c1
0.7075702,training,c1ccc2scnc2c1
0.71681505,test,COc1cccc([N+](=O)[O-])c1
0.72411561,valid,COc1ccc(N)c([N+](=O)[O-])c1
0.72934353,test,CCC(=O)Nc1cc(N(CCOC(C)=O)CCOC(C)=O)ccc1N=Nc1ccc([N+](=O)[O-])cc1Cl
0.73686802,training,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
0.74866652,valid,Nc1cccc2cccc(N)c12
0.75189537,training,Cc1ccccc1N=Nc1ccc(N=Nc2c(O)ccc3ccccc23)c(C)c1
0.75582814,training,O=[N+]([O-])c1ccc(O)cc1
0.76960939,training,BrC(Br)C(Br)Br
0.77309,training,O=[N+]([O-])c1cccc([N+](=O)[O-])c1
0.77815127,training,Cc1[nH]c(=O)n(C(C)(C)C)c(=O)c1Cl
0.77815127,training,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-]
0.77815127,training,CC1(C)CC/C(=C\c2ccc(Cl)cc2)C1(O)Cn1cncn1
0.77875358,training,Clc1ccccn1
0.77943534,test,COc1ccc([N+](=O)[O-])cc1
0.77999997,training,Nc1ccc(S(=O)(=O)O)c2ccccc12
0.79930556,training,Nc1cccc(N)c1
0.79948044,test,ClC(Cl)Cl
0.80076933,training,CC1=NN(c2cc(Cl)c(S(=O)(=O)O)cc2Cl)C(=O)C1
0.80102998,training,N=C(Nc1ccccc1)Nc1ccccc1
0.80528259,training,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1
0.818214,test,Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C
0.82023263,training,COc1ccc(C)cc1N
0.82855254,training,N#CCCN(CCOC(=O)c1ccccc1)c1ccc(N=Nc2ccc([N+](=O)[O-])cc2)cc1
0.82997817,test,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
0.83499998,training,N#Cc1cc(Br)c(O)c(Br)c1
0.83999997,test,Cc1ccc(N/N=C2/C(=O)C(C(=O)O)=Cc3ccccc32)c(S(=O)(=O)O)c1
0.84101552,training,CNc1ccccc1C
0.84509802,training,CCNc1nc(Cl)nc(NC(C)(C)C)n1
0.84509802,training,CN(C)c1nc(=O)n(C2CCCCC2)c(=O)n1C
0.84639668,training,CNc1cccc(C)c1
0.85733247,training,CC(C)CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC(C)C
0.85918003,training,Cc1ccc([N+](=O)[O-])cc1O
0.86787719,training,CCOP(=S)(OCC)Oc1ccc(=O)n(-c2ccccc2)n1
0.87431461,training,COC(=O)c1ccccc1C(=O)c1ccccc1
0.87504637,training,CCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC
0.87656093,training,FC(F)(Cl)Cl
0.879758,test,C=C(Cl)Cl
0.88924611,training,Cc1cc(C)c(O)c(C)c1
0.89170885,training,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
0.89999998,training,Nc1c(S(=O)(=O)O)cc(S(=O)(=O)O)c2cccc(O)c12
0.91000003,training,N#Cc1ccc(O)cc1
0.91294217,valid,Nc1ccccc1Cl
0.91300553,training,Cc1ccc([N+](=O)[O-])cc1
0.93148732,training,O=C(c1ccccc1)c1ccccc1
0.93951923,training,CC(Oc1ccc(Oc2ncc(C(F)(F)F)cc2Cl)cc1)C(=O)O
0.9478088,valid,CN(C)Cc1ccccc1
0.9500373,training,Cc1cccc([N+](=O)[O-])c1
0.96178174,test,Cc1ccc(O)c([N+](=O)[O-])c1
0.96228194,training,CC(CCl)OC(C)CCl
0.96849459,training,O=C1c2ccccc2C(=O)C1c1nc2ccccc2c(Br)c1O
0.97712123,training,CCOc1ccc(NC(C)=O)cc1
0.9931156,test,CCNc1ccccc1
0.99630409,training,CC(C)OP(=O)(OC(C)C)SCc1ccccc1
0.99890327,training,O=[N+]([O-])c1ccccc1O
1,training,O=C(O)c1ccccc1
1,training,O=C(O)c1ccc(Cl)cc1
1.0023077,valid,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
1.0136776,training,CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC
1.0157315,training,Cc1cc(O)ccc1Cl
1.0171671,training,Oc1cccc(Br)c1
1.0175742,test,Nc1ccccn1
1.0194362,test,Oc1c(Cl)cc(Cl)c2ccccc12
1.0216645,training,CN(C)c1ccccc1
1.0224624,test,ClCC(Cl)CCl
1.0298662,test,ClC(Cl)C(Cl)Cl
1.03,test,Cc1cccc(O)c1
1.03,training,Cc1ccccc1O
1.0302142,test,ClC(Cl)(Cl)Cl
1.0336951,training,Cc1ccc(O)cc1[N+](=O)[O-]
1.0537486,training,Nc1ccc(Cc2ccc(N)cc2)cc1
1.0608569,test,Oc1ccccc1Cl
1.0662186,training,ClCCl
1.0700001,training,Cc1cc(N/N=C2\C(=O)C=Cc3ccccc32)c(S(=O)(=O)O)cc1Cl
1.0735254,training,Nc1ccc(Cl)cc1[N+](=O)[O-]
1.082577,test,Oc1cccc(Cl)c1
1.10206,training,Nc1cccc(O)c1
1.1081522,test,CCNc1nc(Cl)nc(NCC)n1
1.11,training,O=S(=O)(O)c1ccc(O)c2ccccc12
1.1142886,training,ClC=C(Cl)Cl
1.1198328,training,S=C(SSSSC(=S)N1CCCCC1)N1CCCCC1
1.1205739,training,CCc1cccc(CC)c1N(COC)C(=O)CCl
1.1303338,training,CCc1nn(C)c(C(=O)NCc2ccc(C(C)(C)C)cc2)c1Cl
1.1330535,training,C=CC(=C)C
1.1459223,training,ClCC(Br)CBr
1.1482277,training,Nc1ccc(Cl)c(Cl)c1
1.1501998,training,c1ccc2sc(SSc3nc4ccccc4s3)nc2c1
1.1532125,training,CCCCCCCCCCSSCCCCCCCCCC
1.1561875,training,CCc1ccccc1[N+](=O)[O-]
1.1799999,training,Cc1ccc(O)c(C)c1
1.1823496,training,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl
1.19897,test,CCCCN(CCCC)CCCC
1.19897,training,Cc1ccc(N)cc1N
1.19897,training,Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br
1.2048299,test,Cc1cc(Cl)ccc1N
1.2128669,training,CCCCCl
1.2135881,training,Oc1cc(Cl)ccc1Cl
1.2161909,training,Cc1cc(Cl)ccc1O
1.2185136,test,BrC(Br)Br
1.2422193,training,Oc1ccc(Br)cc1
1.2508687,test,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
1.2599376,training,Cc1cc(O)ccc1[N+](=O)[O-]
1.2602204,training,Oc1c(Cl)cccc1Cl
1.2707896,training,CCCCCCCCCCCCCCCCCCCCCCCCCCCC(=O)OCCO
1.2741579,valid,OC(Cc1ccccc1Cl)(Cn1[nH]cnc1=S)C1(Cl)CC1
1.2770184,training,O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl
1.2827963,training,CCCCOP(=O)(OCCCC)OCCCC
1.2872627,training,Nc1cc(Cl)ccc1Cl
1.2899088,test,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1
1.2986538,training,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
1.3234785,training,Oc1cccc(Cl)c1Cl
1.3362852,test,OCc1cccc(Cl)c1
1.3430899,valid,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-]
1.3437047,test,Cc1ccccc1[N+](=O)[O-]
1.3471675,training,Oc1ccc(Cl)cc1
1.3564745,training,Clc1ccccc1
1.3688356,training,O=[N+]([O-])c1cc(Cl)cc(Cl)c1O
1.3802112,test,O=C(O)COc1cc(Cl)c(Cl)cc1Cl
1.3822101,test,CCCCCCCCCCCCCCC
1.3865362,training,COP1(=S)OCc2ccccc2O1
1.3869684,training,CCC(C)c1ccc(O)cc1
1.3893517,test,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
1.3961107,training,Nc1ccc(Cl)cc1Cl
1.4,training,O=[N+]([O-])c1cccc(O)c1
1.41,training,C=C(C)[C@H]1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1
1.4313638,training,CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc21
1.4343051,valid,Brc1ccccc1
1.4546391,training,CC(C)c1ccc(OP(=O)(Oc2ccc(C(C)C)cc2)Oc2ccc(C(C)C)cc2)cc1
1.4623981,training,N#Cc1cc(I)c(O)c(I)c1
1.4649206,test,Oc1ccc(Cc2ccccc2)cc1
1.4699966,training,Nc1ccccc1-c1ccccc1
1.4768991,valid,CC1(O)CC2CCC1(C)C2(C)C
1.4771212,training,CCCCCCCCCCCCCCCCCCNC(=O)NCCCCCCCCCCCCCCCCCC
1.4819102,training,O=NN(c1ccccc1)c1ccccc1
1.4854521,test,Nc1cccc2ccccc12
1.5071309,valid,CCCCCC[Si](O)(CCCCCC)CCCCCC
1.5138725,training,CCOP(=O)(OCC)SCc1ccccc1
1.514457,test,Oc1ccccc1Br
1.5185139,training,CCNc1nc(NC(C)C)nc(SC)n1
1.5346088,test,O=[N+]([O-])c1cc(S(=O)(=O)Nc2ccccc2)ccc1Nc1ccccc1
1.5472356,training,CCCCCCCCCCCCCOP(Oc1ccccc1)Oc1ccccc1
1.5563025,test,O=C(O)Cn1c(=O)sc2cccc(Cl)c21
1.5695341,training,O=C1c2ccccc2C(=O)c2c1ccc1ccccc21
1.5783721,test,N#CCCN(CCC#N)c1ccc(N=Nc2c(Cl)cc([N+](=O)[O-])cc2Cl)cc1
1.5855373,training,Nc1ccc2c(c1)C(=O)c1ccccc1C2=O
1.5910646,test,C=C(CC(C)(C)c1ccc(O)cc1)c1ccc(O)cc1
1.5913391,test,CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1
1.6012963,training,Cc1cc(-c2ccc(N)c(C)c2)ccc1N
1.6177869,training,O=[N+]([O-])c1ccc(Cl)cc1
1.6229641,training,FC(F)(Cl)C(F)(Cl)Cl
1.6320922,training,ClCC(Cl)(Cl)CCl
1.6497185,test,COP(=O)(OC)O/C(=C\Cl)c1cc(Cl)c(Cl)cc1Cl
1.6538507,training,CCCCCCCCCCCCCCCC
1.6699352,test,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
1.676851,training,Oc1ccc(-c2ccccc2)cc1
1.685076,training,FC(F)(F)c1ccccc1
1.7137638,test,O=[N+]([O-])c1ccccc1Cl
1.7341738,training,CN(C)C1CSSC1
1.749745,training,CCOP(=S)(OCC)Oc1cc(C)nc(C(C)C)n1
1.7525483,training,CC(C)(C)c1ccc(O)cc1
1.763428,training,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O
1.7729094,training,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1
1.7930917,training,Nc1c(Cl)c(F)nc(OCC(=O)O)c1Cl
1.80618,training,C=CCOC(Cn1ccnc1)c1ccc(Cl)cc1Cl
1.811202,valid,Oc1ccc(Cl)c(Cl)c1
1.8208387,training,N#CSCSc1nc2ccccc2s1
1.8340576,training,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
1.8361759,test,Cc1ccc(Cl)cc1
1.8382306,training,ClC(Cl)=C(Cl)Cl
1.8427675,valid,OC(c1ccccc1)c1ccc(Cl)cc1
1.8500333,training,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
1.8667537,training,CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C
1.8796692,test,CCCN(CCC)c1c([N+](=O)[O-])cc(S(N)(=O)=O)cc1[N+](=O)[O-]
1.8833407,training,Oc1ccc(Cl)cc1Cl
1.8921483,training,CC(C)Oc1cc(-n2nc(C(C)(C)C)oc2=O)c(Cl)cc1Cl
1.8925517,training,Oc1c(Cl)cc(Cl)cc1Cl
1.8976271,training,CCCN(CC)CC1COC2(CCC(C(C)(C)C)CC2)O1
1.8996865,training,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1
1.9014933,test,FC(Cl)(Cl)C(F)(Cl)Cl
1.904654,training,Cc1ccccc1Cl
1.9071535,training,C=Cc1ccncc1
1.9122778,training,CCCCOCCCC
1.9157442,training,Oc1cc(Cl)cc(Cl)c1
1.9160975,training,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1cc(Cl)ccc1Oc1ccc(Cl)cc1S(=O)(=O)O
1.9170007,training,O=[N+]([O-])c1ccc(Cl)c(Cl)c1
1.9220763,training,COc1cc(Cl)c(Cl)cc1O
1.9294189,test,CSc1nc(NC(C)C)nc(NC(C)C)n1
1.9542425,valid,Nc1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1
1.9654478,training,C1CCCCC1
1.9688251,test,CCCCCCCCN(CCCCCCCC)CCCCCCCC
1.9718844,training,C=C(C)c1ccccc1
1.9731278,training,CCCC(Cn1cncn1)c1ccc(Cl)cc1Cl
1.992228,training,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
1.9933268,training,Nc1c(Oc2ccc(Br)cc2)cc(O)c2c1C(=O)c1ccccc1C2=O
1.9956352,training,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1
2,training,O=C1c2ccccc2C(=O)c2ccccc21
2,training,Nc1ccc(Cl)c(Cl)c1Cl
2.0064569,training,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
2.0156035,training,O=[N+]([O-])c1ccc(Cl)cc1C(F)(F)F
2.0293837,training,c1ccc2c(c1)ccc1nc3c(ccc4ccccc43)cc12
2.0325284,training,ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C1(Cl)C(Cl)=C(Cl)C4(Cl)C1(Cl)Cl
2.0400085,training,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl
2.0505149,training,C/C=C1\CC2C=CC1C2
2.0644579,training,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1
2.0650964,test,CCN(CC)c1ccccc1
2.0751283,test,Nc1cccc2c1C(=O)c1ccccc1C2=O
2.0780299,training,Nc1c(Cl)cc(Cl)cc1Cl
2.0844057,valid,BrCCCCCCCCCCBr
2.091166,training,COc1ccc(C(=O)c2ccccc2)c(O)c1
2.0967894,test,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O
2.1055641,training,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
2.1149287,training,ClC(Cl)(Cl)C(Cl)(Cl)Cl
2.1188138,training,CCCCCCCCOc1ccc(C(=O)c2ccccc2)c(O)c1
2.1226642,test,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
2.1280563,training,c1ccc2c(c1)[nH]c1ccccc12
2.1418612,training,O=C1c2ccccc2-c2cccc3cccc1c23
2.1511443,training,Oc1c(Cl)c(Cl)cc(Cl)c1Cl
2.170126,training,COc1cc(Cl)c(Cl)c(Cl)c1O
2.2041199,test,CC(Cc1ccc(C(C)(C)C)cc1)CN1CCCCC1
