LC50,group,smiles
2.6860001,training,C#CC1(O)CCCCC1
2.6889999,training,CO[PH](=O)OC
2.6919999,test,CCCCCN
2.6919999,training,O[C@@H]1C[C@H]2CC[C@@H]1C2
2.6930001,training,CC(Cl)(Cl)C(=O)O
2.7149999,test,O=C(O)c1cccc(C(=O)O)n1
2.72,training,C1CO1
2.7249999,training,NC(=O)C(Cl)Cl
2.7320001,training,O=[N+]([O-])C(CO)(CO)CO
2.7360001,training,ON=C1CCCCC1
2.737,training,CC1=CC(=O)CC(C)(C)C1
2.7379999,test,C#CC(C)(O)C(C)C
2.74,training,Cc1cccc(Cl)n1
2.7579999,training,C=C(C)C(=O)OCCO
2.7820001,training,Oc1cccc(Cl)n1
2.793,training,C=CC(N)=O
2.8110001,training,Cc1cccnc1
2.8180001,training,OCC(Cl)(Cl)Cl
2.8269999,test,Cc1ccc(N)cc1
2.832,training,CCOP(=O)(Cc1ccccc1)OCC
2.8380001,training,OC(C(F)(F)F)C(F)(F)F
2.8399999,training,CCCCCC(=O)O
2.8510001,training,CC(=O)CC(C)=O
2.8529999,training,CC(C)C(O)C(C)C
2.8559999,training,C=C(Cl)Cl
2.8559999,training,CC(=O)CCC(C)C
2.8570001,training,CC(=O)O
2.858,training,CC(=O)c1ccncc1
2.859,test,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1
2.859,training,CC(C)N(CCO)C(C)C
2.8699999,training,CC(=O)c1ccccc1
2.8829999,training,CC1(C)CCC(C)(C)O1
2.891,training,C/C=N/O
2.895,valid,CC(=O)c1cccn1C
2.8959999,training,ClCCCl
2.904,training,COc1ccccc1[N+](=O)[O-]
2.914,test,c1ccncc1
2.924,training,O=[N+]([O-])c1ncccc1O
2.925,training,OCC(F)(F)F
2.925,training,O=C(O)COc1ccc(Cl)cc1Cl
2.928,training,CC(Cl)CCl
2.9360001,test,ClCCCCl
2.9389999,training,O=[N+]([O-])c1ccccc1O
2.9400001,valid,CCCCCC(C)=O
2.941,test,CCCCCCO
2.941,training,BrCC1CCCCO1
2.9519999,training,C=CC(=C)C
2.961,training,OCCCc1cccnc1
2.964,test,CN(C)c1nc(=O)n(C2CCCCC2)c(=O)n1C
2.973,training,ClCCOCOCCCl
2.9749999,valid,Cc1cc(C)c(C#N)c(=O)[nH]1
2.983,training,CN(C)c1ccccn1
2.99,training,Nc1ccc(Br)cn1
2.993,training,Nc1ccccc1
3.0020001,test,N#Cc1ccccc1
3.007,training,Cc1cc(Cl)nc(N)n1
3.0090001,training,CCC(=O)c1ccc(N)cc1
3.0179999,training,O=[N+]([O-])c1ccccc1
3.0209999,test,NCc1ccccc1
3.0250001,training,Cc1ccc(N=C=O)cc1N=C=O
3.0250001,training,COc1ccc(C(C)=O)c(OC)c1OC
3.03,training,CNc1ccccc1
3.046,training,O=P(O)(O)CCCl
3.0480001,training,c1ccoc1
3.0610001,valid,CC(=O)C(C)(C)C
3.072,training,COc1ccc(OC)cc1
3.076,training,CC=O
3.079,test,Nc1ccc([N+](=O)[O-])cc1
3.086,training,c1cc(CCc2ccncc2)ccn1
3.0940001,training,ClC(Cl)Cl
3.095,training,CCOC(=O)CCC(=O)OCC
3.0969999,test,NC(=O)c1ccc([N+](=O)[O-])cc1
3.0999999,training,COc1ccccc1C(N)=O
3.1099999,training,COc1ccc(O)cc1
3.112,training,C#CC(C)(O)c1ccccc1
3.1140001,training,c1ccc2cnncc2c1
3.118,test,COc1cc(C=O)ccc1O
3.119,training,CC(C)(O)C(Cl)(Cl)Cl
3.1229999,training,CCCCC(=O)O
3.131,training,Cc1ccc(C)o1
3.1329999,training,NC(=O)c1ccccc1O
3.1389999,valid,CCCCCCCC/C=C\CCCCCCCC(=O)O
3.141,test,OCCCl
3.141,training,CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2
3.152,training,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O
3.1670001,training,c1ccc2c(c1)CCO2
3.168,training,CC(=O)CCC=C(C)C
3.174,valid,CCc1ccc(C)nc1
3.178,training,O=C(O)CCCCC(=O)O
3.1800001,training,CC12CCC(CC1)C(C)(C)O2
3.1819999,test,CCCCCCCCC(=O)O
3.2049999,test,COC(=O)c1ccccc1C(=O)OC
3.2060001,test,OCC#CCO
3.2130001,training,ClCC(Cl)Cl
3.22,test,CCc1ccc(N)cc1
3.2219999,valid,COc1cccc(O)c1
3.2309999,training,CCCOC(C)=O
3.237,valid,Nc1ccc(S(=O)(=O)O)cc1
3.24,training,CCN(CC)C(=O)c1cccc(C)c1
3.244,training,Cc1cc([N+](=O)[O-])ccc1N
3.2460001,training,CCCCN(C=O)CCCC
3.25,training,O=C(c1ccccc1)c1ccncc1
3.2520001,test,CCCCCCN
3.2620001,test,CCCBr
3.267,test,CN(C)c1ccccc1
3.2720001,training,CC(=O)Cl
3.2780001,valid,CCOc1cc(C=O)ccc1O
3.2869999,valid,Cc1cccc(O)c1
3.2880001,training,C#CCCO
3.2969999,training,COCCCNCc1cc(OC)c(OC)c(OC)c1
3.2980001,training,C1CCCCC1
3.2980001,training,NC(=O)c1ccc(Cl)cc1Cl
3.302,training,Oc1cccc(O)c1
3.325,test,c1ccc2scnc2c1
3.325,valid,NC(=O)c1cccc(Br)c1
3.3369999,test,Cc1ccc([N+](=O)[O-])cc1N
3.3599999,training,O=C(O)c1c(F)cccc1F
3.365,training,O=S(c1ccccc1)c1ccccc1
3.3729999,training,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
3.3740001,training,CN(C)P(=O)(OP(=O)(N(C)C)N(C)C)N(C)C
3.3740001,training,CCNCc1ccccc1
3.3789999,training,COc1ccc(C(C)=O)c(O)c1
3.3800001,training,C#CCC(C)O
3.3870001,training,CC1(C)[C@H]2CC[C@]1(C)[C@H](O)C2
3.391,training,ClCCCCCl
3.391,training,N#Cc1cccc([N+](=O)[O-])c1
3.3929999,training,CC(C)(O)CCc1ccccc1
3.3929999,valid,O=C1C2CC3CC(C2)CC1C3
3.3970001,valid,CCSCCSCC
3.402,training,CC(Cl)(Cl)Cl
3.4070001,training,C1=CC2C3C=CC(C3)C2C1
3.408,training,ClCC(Cl)CCl
3.411,test,Clc1ccccc1Cl
3.411,valid,C=CCC(O)C=C
3.415,valid,Cc1ccc(N(C)C)cc1
3.4159999,test,CC1(N)CCC(C(C)(C)N)CC1
3.4230001,training,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
3.4300001,training,Cc1ccccc1
3.4360001,training,CCNc1cccc(C)c1
3.4400001,training,Cc1ccc([N+](=O)[O-])cc1
3.4449999,training,c1ccccc1
3.4460001,test,CCCCCCC(C)=O
3.448,training,c1ccc2ncccc2c1
3.4489999,test,CCCN(CCC)CCC
3.457,training,C#CC(C)(O)CCC(C)C
3.4590001,valid,O=S(Cc1ccccc1)Cc1ccccc1
3.47,training,ClC=C(Cl)Cl
3.477,valid,CCN(CC)C(=O)/C(Cl)=C(\C)OP(=O)(OC)OC
3.4809999,training,CC(=O)Br
3.484,training,Cc1c(N)cccc1[N+](=O)[O-]
3.487,training,OCC(Br)CBr
3.487,valid,O=C(O)CS
3.4949999,training,Oc1ccccc1
3.4960001,test,CCOCCOC(C)=O
3.4990001,training,O=C(O)C(Br)Br
3.507,training,CCCCCCCO
3.513,test,CNc1ccc(F)cc1
3.513,training,Cc1ccc([N+](=O)[O-])c(O)c1
3.5179999,test,C=CC(O)CCC
3.5209999,training,Cc1cccc(O)c1[N+](=O)[O-]
3.5239999,training,COP(O)(=S)OC
3.5280001,test,C=C(C)C(=O)OC(C)C
3.5280001,training,CC12CCC(C(Br)C1=O)C2(C)C
3.53,training,CCN(CCO)c1cccc(C)c1
3.5309999,test,O=[N+]([O-])c1ccc(O)cc1
3.5369999,test,COC(=O)c1ccc(C#N)cc1
3.546,training,C=CCCl
3.5539999,test,CN(C)Cc1ccccc1
3.5550001,valid,N#Cc1cccc(C(F)(F)F)c1
3.559,training,Nc1ccc(Br)cc1
3.5610001,training,Cc1c(Cl)cccc1NC=O
3.563,test,Cc1ccccc1[N+](=O)[O-]
3.569,training,O=Cc1ccco1
3.569,training,C=CC#N
3.569,training,C=CCNc1ccccc1
3.5699999,test,c1ccc(CN2CCNCC2)cc1
3.5699999,training,ClC(Cl)(Cl)Cl
3.572,training,CCCCBr
3.573,training,C=COC(C)=O
3.5880001,valid,COc1cc(C=O)cc(Br)c1O
3.5940001,test,Cc1ccc(N)c(Cl)c1
3.598,training,COc1cc(OC)c(OC)cc1C=O
3.599,training,O[C@@H]1CCCC[C@H]1c1ccccc1
3.6010001,training,O=Cc1cc(O)ccc1[N+](=O)[O-]
3.6029999,training,COC(=O)c1ccc(O)cc1O
3.6059999,training,CCCCOCCCC
3.608,training,O=C(Cl)c1ccccc1
3.608,training,N#Cc1ccccc1C(F)(F)F
3.6140001,training,C/C=C/C=C/C
3.6199999,test,Nc1ccc(Cl)cc1
3.6229999,training,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
3.6289999,training,Nc1ccc(O)c([N+](=O)[O-])c1
3.638,test,O=P(O)(CO)CO
3.6400001,training,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl
3.642,training,NNC(N)=S
3.6429999,training,Cc1cccc([N+](=O)[O-])c1
3.645,training,Clc1ccccc1
3.654,training,CCCC=O
3.6559999,training,CCNc1nc(NC(C)(C)C)nc(OC)n1
3.661,training,CC(=O)Nc1ccccc1O
3.6619999,training,CCCCC(=O)CCCC
3.664,training,CCCCC(CC)CO
3.665,training,CCOC(=O)c1ccc(N)cc1
3.6659999,training,Cc1ccc(O)cc1
3.6659999,training,O=[N+]([O-])c1cccc([N+](=O)[O-])c1O
3.6889999,training,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O
3.691,training,C=C(C)C(=O)OCC1CCCO1
3.6930001,test,Nc1c(F)c(F)c(F)c(F)c1F
3.6960001,training,O=[N+]([O-])c1ccc(F)cc1
3.698,training,CN(C)C(=O)C(c1ccccc1)c1ccccc1
3.701,training,CC(C)(C)SC(C)(C)C
3.7149999,training,O=P(c1ccccc1)(c1ccccc1)c1ccccc1
3.72,training,CC(C)(C)CC(C)(C)N
3.7260001,training,Cc1ccc(S(=O)(=O)n2ccnc2)cc1
3.727,test,CCCC(C)C=O
3.727,training,N#Cc1cc(Cl)ccc1N
3.7360001,training,CCCSCCC
3.7360001,training,CCOc1ccc(C=O)cc1
3.7449999,training,CC(C)(C)c1ccc(C(N)=O)cc1
3.7460001,training,ClCCCCCCl
3.753,training,Cc1ccccc1F
3.756,training,CCCCCC=O
3.757,training,C=C(C)C(=O)OCCOCC
3.7679999,test,Cc1ccc(N)cc1[N+](=O)[O-]
3.7690001,training,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
3.77,training,CCOC(=O)CC(S)C(=O)OCC
3.7750001,training,Nc1ccc(F)c(C(F)(F)F)c1
3.777,training,C#CC(C)O
3.7820001,training,NC12CC3CC(CC(C3)C1)C2
3.7820001,valid,Nc1ccc(F)cc1C(F)(F)F
3.783,training,N#Cc1ccc([N+](=O)[O-])cc1
3.786,training,C=Cc1ccccc1
3.7869999,training,Cc1ccc([N+](=O)[O-])c(N)c1
3.7880001,training,Cc1ccc(N)c([N+](=O)[O-])c1
3.7969999,training,Cc1cccc([N+](=O)[O-])c1N
3.8099999,training,CCCCOC(C)=O
3.8110001,training,Cc1ccccc1C
3.812,training,O=CN(c1ccccc1)c1ccccc1
3.8150001,training,O=Cc1cccnc1
3.8180001,training,Nc1ccc(F)cc1
3.822,training,Cc1cccc(C)c1
3.825,training,CCCCC=O
3.8280001,test,COP(=S)(S)OC
3.835,training,C=CCc1ccc(O)c(OC)c1
3.8380001,test,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCO)ccc(NCCO)c21
3.8410001,test,CC#CCO
3.8410001,test,CCSC(=O)N1CCCCCC1
3.842,training,CN(C)C(=O)NC1CC2CC1C1CCCC21
3.845,training,COP(=O)(O)OC
3.846,training,CCOc1ccc(N)c([N+](=O)[O-])c1
3.8529999,training,CCC(C)C(C)C=O
3.855,training,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1
3.8559999,test,Cc1ccc(O)c(C)c1
3.8610001,training,CCN(CC)C1CCCCC1
3.862,test,ClCC1CO1
3.8699999,training,CCN(CC)c1ccc(C=O)cc1
3.8770001,training,COc1cccc(OC)c1C
3.8840001,training,CN(C)N
3.885,training,COC(=O)c1ccc([N+](=O)[O-])cc1
3.888,training,Cc1ccccc1O
3.8889999,test,N#Cc1cc(Cl)c(O)c(Cl)c1
3.895,training,COC(=O)c1ccc(Cl)cc1[N+](=O)[O-]
3.9119999,test,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
3.9159999,training,ClC(Cl)C(Cl)Cl
3.9170001,training,COc1ccc(C=O)c(OC)c1
3.9170001,valid,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
3.9189999,test,O=Cc1ccccc1
3.9200001,valid,ClC1CCCC[C@H]1Cl
3.924,training,CCOC(=O)c1ccccc1O
3.9260001,training,c1ccc2occc2c1
3.9260001,training,c1ccc2c(c1)CCC2
3.9260001,training,CCCCCCCCOC(=O)C(C)O
3.927,training,Nc1ccc([N+](=O)[O-])cc1Cl
3.9330001,training,O=[N+]([O-])c1cccc(Cl)c1
3.934,training,Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1
3.9360001,training,CCC(C)C=O
3.941,training,Cc1ccc(O)cc1C
3.947,training,CCc1ccccc1
3.9519999,test,CC1(C)[C@H]2CC[C@]1(C)C(=O)C2
3.9549999,training,ClC(Cl)=C(Cl)Cl
3.9590001,training,CCN(CC)c1ccccc1
3.971,valid,CCCCCCCC(C)=O
3.974,training,C1=CC2CCC1C2
3.9760001,training,CCCCCCC1CCC(=O)O1
3.9779999,training,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-]
3.9790001,training,C=CCc1ccccc1O
3.9809999,training,CCOC(=O)/C=C\C(=O)OCC
3.984,training,CCCCCCCCO
3.984,training,c1ccc(-c2ccncc2)cc1
3.9949999,training,c1ccc(C2CO2)cc1
4.0019999,training,Cc1cccc(Cl)c1C#N
4.0159998,training,CCOC(=O)CC(=O)OCC
4.0190001,training,Oc1ccccc1Cl
4.02,test,Cc1cc(C)c(O)c(C)c1
4.0209999,training,O=Cc1ccccc1[N+](=O)[O-]
4.0229998,training,O=Cc1ccc(O)cc1O
4.0500002,training,CCOC(=O)CCCCC(=O)OCC
4.0700002,test,CCc1ccc(O)cc1
4.0749998,valid,C=C(C)C(=C)C
4.0799999,training,O=C(O)C1C2CCC(O2)C1C(=O)O
4.0819998,training,S=C(Nc1ccccc1)Nc1ccccc1
4.0840001,test,Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
4.092,valid,O=C(c1ccccc1)c1ccccc1
4.0929999,test,CCCc1ccc(O)cc1
4.0949998,training,CCCCOC(=O)CCC
4.0960002,training,CC(C)c1cccc(C(C)C)c1N
4.1020002,test,Cc1ccc(C)cc1
4.1020002,test,O=CCCCC=O
4.1090002,training,O=C(c1ccc(Br)cc1)c1cccnc1
4.1160002,test,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1
4.1160002,training,CCOC(=O)c1ccccc1C(=O)OCC
4.1160002,training,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1
4.119,training,c1cc[n+]2c(c1)-c1cccc[n+]1CC2
4.1199999,training,Cc1c(N)cc([N+](=O)[O-])cc1[N+](=O)[O-]
4.1220002,training,O=[N+]([O-])c1cccc([N+](=O)[O-])c1
4.1360002,valid,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1
4.1409998,training,O=C(O)CCCOc1ccc(Cl)cc1Cl
4.1539998,training,c1ccc2cccc-2cc1
4.1560001,training,COC(=O)c1ccc(Cl)cc1
4.158,training,CCNc1nc(Cl)nc(NC(C)C)n1
4.165,test,CCCCc1ccc(N)cc1
4.1690001,training,COC(=O)c1cc(Cl)ccc1Cl
4.171,training,Cc1c[nH]c2ccccc12
4.1750002,test,Cn1cc(-c2ccccc2)c(=O)c(-c2cccc(C(F)(F)F)c2)c1
4.1750002,training,O=Cc1ccc([N+](=O)[O-])cc1
4.1820002,training,S=c1[nH]c2ccccc2s1
4.1820002,training,CC(=O)C(C)CN(C)C
4.184,test,C=CC(Cl)CCl
4.1919999,valid,Cc1ccc(C)c(C)c1
4.198,training,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O
4.1989999,test,Cc1cccc2ccccc12
4.2080002,training,O=C(CCl)c1ccc(Cl)cc1
4.2080002,training,CC(=O)c1ccc(Cl)cc1Cl
4.2080002,training,Cc1ccc([N+](=O)[O-])c(N)c1[N+](=O)[O-]
4.2080002,valid,CCCCCC(=O)OCC
4.2150002,training,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
4.2199998,training,Cc1ccc(C)c(O)c1C
4.224,training,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
4.2270002,training,O=Cc1c(F)cccc1Cl
4.2389998,training,CC(C)CCCCCOC(=O)C(C)Oc1cc(Cl)c(Cl)cc1Cl
4.244,test,CCOC(=O)N(C(=O)OCC)C(=O)OCC
4.2470002,test,CSCCCCCCSC
4.2470002,training,CCOC(=O)c1ccccc1
4.2490001,training,Cc1c([N+](=O)[O-])ccc(N)c1[N+](=O)[O-]
4.257,training,CC(C)SSC(C)C
4.2620001,training,Cc1cc(Cl)ccc1OCCCC(=O)O
4.2690001,training,Clc1cccc(Cl)c1
4.2729998,training,C#CC(O)(c1ccccc1)c1ccccc1
4.2789998,test,CC(C)c1ccccc1
4.2870002,training,Oc1ccccc1O
4.2950001,training,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1
4.2979999,test,Oc1ccc(Cl)cc1Cl
4.302,test,N#Cc1cc(Br)c(O)c(Br)c1
4.302,training,C=C1C2CCC3C2C(C)(C)CCCC13C
4.3049998,training,O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])C1
4.3049998,training,CCCCCCCCC#N
4.3200002,test,c1ccc2ccccc2c1
4.322,test,Clc1ccc(Cl)cc1
4.323,training,Nc1ccc(Cl)c(Cl)c1
4.3379998,valid,Nc1cccc(OCc2ccccc2)c1
4.3530002,test,Nc1ccccc1Cl
4.3660002,test,O=C(O)/C=C\C(=O)O
4.368,training,Clc1cccc(C(Cl)(Cl)Cl)n1
4.369,training,COC(=O)c1ccc(C(=O)OC)c(N)c1
4.3759999,test,CNC(=O)Oc1ccccc1OC(C)C
4.3769999,training,CCNc1nc(NC(C)C)nc(SC)n1
4.3839998,training,C=CC(=O)OCCO
4.3839998,valid,Clc1cccc(-c2ccccc2)c1
4.395,training,Cc1cc(C)c([N+](=O)[O-])cc1[N+](=O)[O-]
4.3959999,training,CCCCCCCCN
4.3959999,valid,CCCCCCC(C)N
4.4029999,training,ClCc1ccccc1
4.4039998,training,CCC(=O)Nc1ccc(Cl)c(Cl)c1
4.4099998,test,CCCCCCCCCO
4.4159999,training,Cc1cc(O)ccc1Cl
4.4159999,training,O=Cc1cccc([N+](=O)[O-])c1
4.4159999,training,CCCCOc1ccccc1
4.4200001,training,N#Cc1c(Cl)cccc1Cl
4.421,test,Brc1ccsc1
4.4219999,test,COP(=O)(OC)O/C(C)=C\C(=O)OC(C)c1ccccc1
4.4219999,training,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
4.4229999,training,CC(C)CC=O
4.4239998,valid,O=C(O)c1c(Cl)ccc(Cl)c1Cl
4.4250002,training,Cc1cc2cccc(C)c2cc1C
4.4289999,training,ClC(Cl)C(Cl)(Cl)Cl
4.4460001,training,CNC(=O)Oc1cccc2ccccc12
4.448,training,Brc1ccccc1
4.4559999,training,Cc1c([N+](=O)[O-])cc(N)cc1[N+](=O)[O-]
4.4590001,training,Oc1ccc(Cl)cc1
4.4650002,test,CC(C)=CC=C(C)C
4.4660001,training,CC(C)(C)c1ccc(O)cc1
4.4689999,training,CCSCCCCSCC
4.473,training,CN(C)c1ccc(/C=C/C=O)cc1
4.4980001,test,CCNc1nc(Cl)nc(NCC)n1
4.507,test,Oc1ccccc1-c1ccccc1
4.5079999,valid,COP(=S)(OC)Oc1ccc([N+](=O)[O-])cc1
4.5100002,test,CCc1cccc(CC)c1
4.5100002,training,O=[N+]([O-])c1ccc(O)cc1C(F)(F)F
4.5100002,training,CCCCCCCCC(C)=O
4.5120001,training,CNC(=O)O/N=C(\SC)C(=O)N(C)C
4.513,training,CCCCOP(=O)(OCCCC)OCCCC
4.5320001,training,O=[N+]([O-])c1cccc2ccccc12
4.5370002,training,CCCCCC
4.5380001,training,Oc1cccc2ccccc12
4.539,training,CCc1cccc(C)c1N(C(=O)CCl)C(C)COC
4.5440001,training,Oc1ccc(Oc2ccc(O)cc2)cc1
4.5510001,training,CCCCOCCOP(=O)(OCCOCCCC)OCCOCCCC
4.5570002,test,CCCCCCOC(C)=O
4.5570002,training,CCN(CC)c1ccc(C=O)c(O)c1
4.559,training,CC(=O)c1ccc(Cl)c([N+](=O)[O-])c1
4.5609999,test,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1
4.5640001,test,COC(=O)c1ccc(C(=O)OC)c([N+](=O)[O-])c1
4.5640001,training,C#CCO
4.5710001,training,O=C(O)CNCP(=O)(O)O
4.5749998,training,Oc1ccc(Oc2ccccc2)cc1
4.5770001,training,CC(=O)/C=C/C1=C(C)CCCC1(C)C
4.5770001,training,C=C(C)C(=O)OCc1ccccc1
4.5830002,training,CCOC(=O)/C=C/C(=O)OCC
4.586,training,CC(C)=CCC/C(C)=C/CO
4.5900002,valid,C=CC(=O)OCC(C)O
4.5929999,training,COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O
4.6030002,training,C=CC(=O)OCC
4.6199999,training,Oc1ccc2ccccc2c1
4.6279998,training,O/N=C/c1ccccc1O
4.6290002,training,c1ccc(Oc2ccccc2)cc1
4.6339998,training,O=Cc1ccc(Oc2ccccc2)cc1
4.6350002,training,COc1cc(Cl)c(Cl)cc1O
4.6360002,test,CC1=CC=C(C(C)C)CC1
4.6370001,training,Oc1c(Cl)cc(Cl)cc1Cl
4.6500001,training,c1ccc(Nc2ccccc2)cc1
4.6589999,training,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC
4.664,training,CCOC(=O)C(Cc1ccccc1)C(=O)OCC
4.6719999,test,Cc1ccc(C(C)C)c(O)c1
4.6719999,training,O=Cc1cc([N+](=O)[O-])ccc1Cl
